epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,467.238,0.43522,4.08638,0.24951,0.32893,0.99805,0.98587,0.99694,0.99432,0.94306,0.87779,0.88925,0.86974,0.22796,0.3464,3.23692,0.08847,0.24805,0.89163,0.0005744,0.0005744,0.0005744
38,479.792,0.427,3.99216,0.24541,0.31925,0.99966,0.98973,0.99524,0.99481,0.95512,0.90854,0.91429,0.89338,0.2611,0.33573,3.15291,0.09426,0.23382,0.87826,0.0005348,0.0005348,0.0005348
39,492.17,0.42791,3.91895,0.24061,0.31527,0.99908,0.9804,1,0.99472,0.9591,0.90101,0.91905,0.90029,0.2691,0.33813,3.09772,0.0986,0.23819,0.88588,0.0004952,0.0004952,0.0004952
40,504.617,0.42587,3.97378,0.23594,0.31647,1.00501,0.9859,0.99895,0.99481,0.96465,0.91071,0.92283,0.89385,0.28197,0.32042,3.05066,0.09502,0.22802,0.86915,0.0004556,0.0004556,0.0004556
41,542.593,0.28057,3.13963,0.14047,0.21778,0.90318,0.9848,1,0.99481,0.95675,0.90962,0.92381,0.92008,0.29673,0.31845,3.01858,0.0746,0.22031,0.86309,0.000416,0.000416,0.000416
42,555.091,0.27592,3.0684,0.12418,0.21607,0.89195,0.98929,0.99524,0.99491,0.96364,0.93358,0.89524,0.91099,0.29258,0.30101,3.01674,0.06675,0.22756,0.8531,0.0003764,0.0003764,0.0003764
43,567.797,0.27229,2.99394,0.11858,0.20668,0.89168,0.99016,1,0.99486,0.97367,0.90984,0.91905,0.92326,0.30992,0.31082,2.93765,0.06502,0.22908,0.85615,0.0003368,0.0003368,0.0003368
44,580.173,0.25713,2.96269,0.1175,0.20089,0.8849,0.99037,1,0.99476,0.973,0.9239,0.92857,0.92192,0.31656,0.28421,2.94377,0.06454,0.21045,0.84091,0.0002972,0.0002972,0.0002972
45,592.785,0.24302,2.9492,0.11157,0.18862,0.87312,0.99056,0.99931,0.99486,0.97183,0.92267,0.92381,0.92665,0.32552,0.28462,2.92428,0.06459,0.20539,0.84175,0.0002576,0.0002576,0.0002576
46,605.479,0.23041,2.87665,0.1051,0.18092,0.85913,0.99055,0.9988,0.99481,0.9793,0.93861,0.94642,0.95436,0.34359,0.27713,2.89621,0.06105,0.20329,0.83383,0.000218,0.000218,0.000218
47,617.785,0.22856,2.86407,0.10995,0.18166,0.85781,0.9903,1,0.99481,0.97814,0.92886,0.9381,0.94235,0.34372,0.26732,2.8924,0.06534,0.19338,0.8269,0.0001784,0.0001784,0.0001784
48,630.208,0.2232,2.85019,0.106,0.17417,0.8501,0.99056,0.99965,0.99486,0.98107,0.91979,0.92827,0.92351,0.33657,0.25994,2.88456,0.06117,0.1897,0.82185,0.0001388,0.0001388,0.0001388
49,642.833,0.21876,2.81959,0.10584,0.17126,0.85257,0.99056,0.99976,0.99486,0.98118,0.9198,0.92839,0.92265,0.33851,0.25714,2.86391,0.06211,0.18903,0.81963,9.92e-05,9.92e-05,9.92e-05
50,655.593,0.21122,2.80138,0.09934,0.16469,0.85207,0.99056,0.99974,0.99481,0.97899,0.92451,0.93312,0.92613,0.34631,0.26194,2.86295,0.06088,0.18323,0.8231,5.96e-05,5.96e-05,5.96e-05
